asn,name,cc,users,country_pct,internet_pct,samples
6830,LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding  aka AORTA,PL,3503590,11.23,0.0842,333283
26611,COMCEL S.A.,CO,3502096,10.03,0.0842,447588
41202,UNITEL,UZ,3485961,17.00,0.0838,238059
17511,OPTAGE OPTAGE Inc.,JP,3479148,3.08,0.0836,113946
17623,CNCGROUP-SZ China Unicom Shenzen network,CN,3441623,0.42,0.0827,66699
12576,EE Ltd,GB,3440123,5.27,0.0827,495623
49273,COSCOM-AS,UZ,3416449,16.66,0.0821,233312
11351,TWC-11351-NORTHEAST,US,3387926,1.35,0.0814,647498
13285,OPALTELECOM-AS TalkTalk Communications Limited,GB,3386983,5.19,0.0814,487967
201767,UZMOBILE-AS Nukus str. 22A  Tashkent 100100  Uzbekistan,UZ,3368317,16.42,0.0809,230025
8881,VERSATEL,DE,3349813,4.74,0.0805,147014
24499,TPP-AS-PK Telenor Pakistan,PK,3343115,9.23,0.0803,3106246
38019,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited,CN,3330633,0.40,0.0800,64548
37119,unitel-AS,AO,3330543,62.50,0.0800,553781
31133,MF-MGSM-AS PJSC MegaFon,RU,3247034,2.74,0.0780,43933
6799,OTENET-GR Athens - Greece,GR,3245950,43.11,0.0780,3563351
37190,ATLANTIQUE-TELECOM-,CI,3234760,25.24,0.0777,217219
37287,ZAIN-ZAMBIA,ZM,3226032,52.44,0.0775,790419
13489,EPM Telecomunicaciones S.A. E.S.P.,CO,3213987,9.20,0.0772,410766
6128,CABLE-NET-1,US,3200912,1.28,0.0769,611756
37035,MIC-AS,TZ,3197152,25.03,0.0768,644469
6327,SHAW,CA,3151616,8.69,0.0757,362865
36908,VTL-ASN,TZ,3147920,24.64,0.0756,634545
11427,TWC-11427-TEXAS,US,3136376,1.25,0.0754,599422
8402,CORBINA-AS OJSC Vimpelcom,RU,3136023,2.64,0.0754,42431
7545,TPG-INTERNET-AP TPG Telecom Limited,AU,3131287,14.01,0.0752,368686
21859,ZEN-ECN,GB,3128645,4.79,0.0752,450748
23700,FASTNET-AS-ID Linknet-Fastnet ASN,ID,3112880,2.68,0.0748,1905321
22927,Telefonica de Argentina,AR,3105356,8.24,0.0746,282823
3303,SWISSCOM Swisscom Switzerland Ltd,CH,3082343,35.56,0.0741,166689
11426,TWC-11426-CAROLINAS,US,3080615,1.23,0.0740,588765
33779,wataniya-telecom-as,DZ,3060302,12.41,0.0735,471893
14754,Telgua,GT,3045588,32.99,0.0732,632133
52362,Servicios Innovadores de Comunicacion y Entretenimiento  S.A.,GT,3033558,32.86,0.0729,629636
47524,TURKSAT-AS,TR,3025732,4.78,0.0727,682229
32934,FACEBOOK,US,3006332,1.20,0.0722,574568
3301,TELIANET-SWEDEN Telia Company,SE,2996655,28.56,0.0720,479635
11888,Television Internacional  S.A. de C.V.,MX,2975284,3.28,0.0715,1096855
36974,AFNET-AS,CI,2972786,23.20,0.0714,199627
37457,Telkom-Internet,ZA,2962762,8.31,0.0712,227179
132525,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited,CN,2959170,0.36,0.0711,57349
38466,UMOBILE-AS-AP U Mobile Sdn Bhd,MY,2957340,10.59,0.0711,1880389
8374,PLUSNET Plus network operator in Poland,PL,2953846,9.47,0.0710,280988
9541,CYBERNET-AP Cyber Internet Services Pvt Ltd.,PK,2933992,8.10,0.0705,2726110
37054,Telecom-Malagasy,MG,2924620,65.19,0.0703,59889
27947,Telconet S.A,EC,2905753,25.64,0.0698,457650
5650,FRONTIER-FRTR,US,2900916,1.16,0.0697,554421
2860,NOS_COMUNICACOES,PT,2889154,35.89,0.0694,1033600
16232,ASN-TIM Service Provider,IT,2874017,7.52,0.0691,221693
24309,CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,IN,2873820,0.49,0.0691,953859
8386,KOCNET,TR,2867617,4.53,0.0689,646578
5483,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.,HU,2837261,37.80,0.0682,788915
45916,GTPL-AS-AP Gujarat Telelink Pvt Ltd,IN,2831833,0.48,0.0680,939923
40676,AS40676,US,2828940,1.13,0.0680,540665
9009,M247,US,2825387,1.13,0.0679,539986
6306,TELEFONICA VENEZOLANA  C.A.,VE,2821069,14.29,0.0678,306201
37148,globacom-as,NG,2797480,4.40,0.0672,515490
133982,EXCITEL-AS-IN Excitel Broadband Private Limited,IN,2783188,0.47,0.0669,923777
37705,TOPNET,TN,2779415,36.51,0.0668,795692
38623,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,KH,2756278,39.29,0.0662,799454
37105,rain,ZA,2754488,7.73,0.0662,211209
63949,LINODE-AP Linode  LLC,JP,2716609,2.40,0.0653,88972
23201,Telecel S.A.,PY,2715720,52.50,0.0653,173864
37447,ORANGE-RDC,CD,2711398,23.45,0.0652,84151
8412,TMA Magenta Telekom,AT,2706454,32.51,0.0650,236218
37453,VODACOM-CONGO,CD,2697962,23.34,0.0648,83734
39603,P4NET P4 UMTS operator in Poland,PL,2679694,8.59,0.0644,254909
6739,ONO-AS Cableuropa - ONO,ES,2633236,6.22,0.0633,169428
22047,VTR BANDA ANCHA S.A.,CL,2626825,16.03,0.0631,695086
17488,HATHWAY-NET-AP Hathway IP Over Cable Internet,IN,2607494,0.44,0.0627,865462
27651,ENTEL CHILE S.A.,CL,2583720,15.77,0.0621,683680
29614,GHANATEL-AS,GH,2578510,18.99,0.0620,1227828
12912,TM,PL,2559895,8.21,0.0615,243513
27882,Telefonica Celular de Bolivia S.A.,BO,2558203,42.84,0.0615,513461
206026,IPNET_KAR-TEL,KZ,2532001,16.68,0.0608,206242
327931,Optimum-Telecom-Algeria,DZ,2518979,10.21,0.0605,388422
12735,ASTURKNET,TR,2505707,3.96,0.0602,564976
37133,airtel-tz-as,TZ,2501201,19.58,0.0601,504182
17638,CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT,CN,2494776,0.30,0.0599,48349
12958,MCC Tele2 Russia Network,RU,2484813,2.10,0.0597,33620
27699,TELEFONICA BRASIL S.A,BR,2467024,1.51,0.0593,388747
17501,WLINK-NEPAL-AS-AP WorldLink Communications Pvt Ltd,NP,2453327,34.10,0.0590,1949864
25513,ASN-MGTS-USPD,RU,2450002,2.07,0.0589,33149
28885,OMANTEL-NAP-AS OmanTel NAP,OM,2431287,55.24,0.0584,1188788
327885,Viettel-Tanzania,TZ,2416057,18.91,0.0581,487019
8400,TELEKOM-AS,RS,2390425,36.38,0.0574,2249368
1257,TELE2,SE,2371877,22.61,0.0570,379635
21497,UMC-AS,UA,2368689,8.40,0.0569,1307215
24863,LINKdotNET-AS,EG,2321383,4.40,0.0558,1289541
9674,FET-TW Far EastTone Telecommunication Co.  Ltd.,TW,2303015,8.83,0.0553,351266
52341,WOM S.A.,CL,2297318,14.02,0.0552,607895
6057,Administracion Nacional de Telecomunicaciones,UY,2292237,92.10,0.0551,327316
24158,TAIWANMOBILE-AS Taiwan Mobile Co.  Ltd.,TW,2273636,8.72,0.0546,346785
28469,AT&T COMUNICACIONES DIGITALES S DE RL,MX,2245131,2.47,0.0539,827680
3243,MEO-RESIDENCIAL,PT,2245000,27.89,0.0539,803153
19429,ETB - Colombia,CO,2228804,6.38,0.0536,284854
6568,Entel S.A. - EntelNet,BO,2223439,37.23,0.0534,446270
48503,TELE2-KZ Tele2 Kazakhstan,KZ,2212435,14.58,0.0532,180212
48832,ZAIN-,JO,2197995,29.31,0.0528,1094578
16019,VODAFONE-CZ-AS,CZ,2196029,25.07,0.0528,323549
12302,VODAFONE_RO Charles de Gaulle nr.15,RO,2193173,16.07,0.0527,790628
8953,ASN-ORANGE-ROMANIA,RO,2188696,16.04,0.0526,789014
13335,CLOUDFLARENET,US,2180230,0.87,0.0524,416684
36926,CKL1-ASN,KE,2162964,20.91,0.0520,1032226
6713,IAM-AS,MA,2158136,8.77,0.0519,513306
37069,MOBINIL,EG,2152470,4.08,0.0517,1195709
9105,TISCALI-UK TalkTalk Communications Limited,GB,2149699,3.29,0.0517,309710
9009,M247,DE,2149441,3.04,0.0516,94333
37223,VODACOM-,MZ,2144895,27.33,0.0515,343104
134810,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation,CN,2142146,0.26,0.0515,41515
37577,Orange-,BF,2120313,51.41,0.0509,124091
29182,THEFIRST-AS Moscow  Russia,RU,2100561,1.77,0.0505,28421
37440,Airtel-,MW,2096975,61.35,0.0504,184309
24940,HETZNER-AS,DE,2096624,2.96,0.0504,92015
29447,TIF-AS Iliad Italia S.p.A,IT,2085692,5.46,0.0501,160884
28509,Cablemas Telecomunicaciones SA de CV,MX,2085641,2.30,0.0501,768883
15802,DU-AS1,AE,2073664,20.99,0.0498,458274
2519,VECTANT ARTERIA Networks Corporation,JP,2050311,1.81,0.0493,67150
16276,OVH,FR,2016454,3.73,0.0485,172664
17853,LGTELECOM-AS-KR LGTELECOM,KR,2002434,3.92,0.0481,569460
264731,Corporacion Digitel C.A.,VE,1996945,10.11,0.0480,216750
12353,VODAFONE-PT Vodafone Portugal,PT,1992199,24.75,0.0479,712713
131429,MOBIFONE-AS-VN MOBIFONE Corporation,VN,1991362,3.71,0.0478,374138
45498,SMART-AXIATA-KH SMART AXIATA Co.  Ltd.,KH,1983083,28.27,0.0477,575190
265540,ALTAN REDES  S.A.P.I. de C. V.,MX,1981199,2.18,0.0476,730380
63949,LINODE-AP Linode  LLC,US,1978518,0.79,0.0475,378133
30985,IKATELNET,ML,1971486,64.50,0.0474,174893
3292,TDC TDC AS,DK,1970986,34.85,0.0474,243577
28118,ALTICE DOMINICANA S.A.,DO,1967190,25.14,0.0473,677473
19108,SUDDENLINK-COMMUNICATIONS,US,1945010,0.78,0.0467,371729
25255,H3G-AUSTRIA-AS  TELE2 AUSTRIA ,AT,1939481,23.29,0.0466,169277
132618,REALFUTURE-AS-AP Real Future Company Limited,TH,1934170,4.31,0.0465,426747
9009,M247,GB,1931307,2.96,0.0464,278246
8376,Jordan Data Communications,JO,1925690,25.68,0.0463,958973
34170,AS-AZTELEKOM Azerbaijan Telecomunication ISP,AZ,1885129,23.05,0.0453,229171
9038,BAT-AS9038,JO,1879233,25.06,0.0452,935838
37168,CELL-C,ZA,1869334,5.25,0.0449,143337
21334,ASN-VODAFONE-,HU,1866964,24.87,0.0449,519119
23860,ALLIANCE-GATEWAY-AS-AP Alliance Broadband Services Pvt. Ltd.,IN,1864734,0.32,0.0448,618930
36912,ORANGE,CM,1860654,28.38,0.0447,250493
6871,PLUSNET UK Internet Service Provider,GB,1858489,2.85,0.0447,267755
24186,RAILTEL-AS-IN RailTel Corporation of India Ltd,IN,1853219,0.32,0.0445,615108
37531,AIRTEL-NIGER,NE,1845064,41.57,0.0443,55659
41330,T2-NOVOSIBIRSK-AS Tele2 Russia Network,RU,1842250,1.55,0.0443,24926
5378,Vodafone,GB,1834383,2.81,0.0441,264282
18126,CTCX Chubu Telecommunications Company  Inc.,JP,1798198,1.59,0.0432,58893
40021,CONTABO,US,1794345,0.72,0.0431,342934
23944,SKYBB-AS-AP SKYBroadband SKYCable Corporation,PH,1785980,2.44,0.0429,872971
5610,O2-CZECH-REPUBLIC,CZ,1778541,20.30,0.0427,262039
17506,UCOM ARTERIA Networks Corporation,JP,1772825,1.57,0.0426,58062
132165,CONNECT-AS-AP Connect Communications,PK,1765624,4.87,0.0424,1640525
37204,TELONE,ZW,1756254,36.78,0.0422,283608
57269,DIGISPAINTELECOM,ES,1727546,4.08,0.0415,111154
7029,WINDSTREAM,US,1725106,0.69,0.0415,329701
36962,MTNZ-AS,ZM,1721428,27.98,0.0414,421772
35228,O2BROADBAND,GB,1711833,2.62,0.0411,246626
28787,BAKINTER-AS Bakinternet ISP  Azerbaijan,AZ,1709029,20.89,0.0411,207763
47589,KTC3G,KW,1703590,32.70,0.0409,441215
42961,GPRS-AS ZAIN,KW,1699161,32.61,0.0408,440068
138754,KVBPL-AS-IN Kerala Vision Broad Band Private Limited,IN,1686097,0.29,0.0405,559638
719,ELISA-AS Helsinki  Finland,FI,1684230,34.53,0.0405,225339
